id,PRODUCT_NAME,PRODUCT_DESCRIPTION,MIN_PRICE,MAX_PRICE,SELLER_id,CATEGORY,DESCRIPTION_OF_CATEGORY,CATEGORY_ID,CREATED_AT,UPDATED_AT,THUMBNAIL_IMAGE,SELLER_NAME
39,Brass Gold Silver Plated Occas,We offer premium range of Occasional Gift. To furnish the diverse requirements of our clients we are involved in offering a wide range of Occasional Gift. Our range of bowl Set are beautifully crafted with lot of emphasis on the finish and designs Features Elegant designs  Attractive looks,,,47,Gift & Toys,,2,2025-10-16 17:22:29.378001,2025-10-16 17:22:29.378041,buyer_seller/seller/seller_SEL2029288/Brass Gold Silver Plated Occas/product_thumbnail/2252262461_10-16-25_22-52-27.jpg,Nisha Deshmukh
40,Swan Shape Brass Bowl Set,We offer premium range of Wedding Gift Item Swan Shape Brass Bowl Set. To furnish the diverse requirements of our clients we are involved in offering a wide range of Wedding Gift Item Swan Shape Brass Bowl Set. Our range of bowl Set are beautifully crafted with lot of emphasis on the finish and desi,,,47,Gift & Toys,,2,2025-10-16 17:24:30.124359,2025-10-16 17:24:30.124401,buyer_seller/seller/seller_SEL2029288/Swan Shape Brass Bowl Set/product_thumbnail/2254268301_10-16-25_22-54-27.jpg,Nisha Deshmukh
41,Handmade Barmeri Print Handbag,We offer premium range of Ladies Gift Handmade Barmeri Print Handbag. To furnish the diverse requirements of our clients we are involved in offering a wide range of Handicrafts. Our range of Handmade Handicrafts are beautifully crafted with lot of emphasis on the finish and designs,,,47,Gift & Toys,,2,2025-10-16 17:27:28.661351,2025-10-16 17:27:28.661389,buyer_seller/seller/seller_SEL2029288/Handmade Barmeri Print Handbag/product_thumbnail/2257267781_10-16-25_22-57-27.jpg,Nisha Deshmukh
36,Steam Sella Basmati Rice,"1121 Steam Sella Basmati Rice is a high-quality variety of Basmati rice that undergoes a steaming process to enhance its texture, aroma, and nutritional value. Known for its long, slender grains and distinct aroma, this rice is widely used in Indian and Middle Eastern cuisines",,,46,Food,,3,2025-10-16 17:05:00.218289,2025-10-16 17:05:00.218335,buyer_seller/seller/seller_SEL7073001/Steam Sella Basmati Rice/product_thumbnail/2234574201_10-16-25_22-34-58.jpg,Neha Menon
37,Premier Black Pepper,We are the largest wholesellers and Exporters of Indian premier Black Pepper...& all kinds of Spices Mithuna Foods can offer the best for Exports & Regular shipping..of Indian premier Black and white Pepper SRILANKAN PEPPER ONLY,,,46,Food,,3,2025-10-16 17:07:57.543443,2025-10-16 17:07:57.543487,buyer_seller/seller/seller_SEL7073001/Premier Black Pepper/product_thumbnail/2237545131_10-16-25_22-37-55.jpg,Neha Menon
38,Mithuna Patti Samosas,"With the assistance of our skilled professionals, we are engaged in providing high grade Patti Samosas. Provided samosa is one of the largely consumed snacks in India, asper the taste of people in India, we prepared this samosa by making use of maida with other related ingredients. We keep the spice",,,46,Food,,3,2025-10-16 17:10:40.221928,2025-10-16 17:10:40.221996,buyer_seller/seller/seller_SEL7073001/Mithuna Patti Samosas/product_thumbnail/2240377791_10-16-25_22-40-38.jpg,Neha Menon
91,"4+ Suta Makhana, 1 Kg","Enrich Global's Fox Nut, also known as Makana, is a nutrient-rich and wholesome snack that combines delectable taste with numerous health benefits. Harvested from the pristine sources, our Fox Nut is a symbol of purity and wellness, carefully processed to bring you the best in every bite",,,63,Food,,3,2025-10-17 09:42:35.707560,2025-10-17 09:42:35.707621,"buyer_seller/seller/seller_SEL511835/4+ Suta Makhana, 1 Kg/product_thumbnail/1512318791_10-17-25_15-12-33.jpg",Anita Sharma
47,Brown Kaibo Aldo Shoes,"We are here to offer comfy collection of shoes. A shoe is an item of footwear intended to protect and comfort the human foot. It is vulnerable, and shoes provide protection.",,,50,Fashion,,4,2025-10-16 18:10:00.193846,2025-10-16 18:10:00.193888,buyer_seller/seller/seller_SEL6094823/Brown Kaibo Aldo Shoes/product_thumbnail/2339585461_10-16-25_23-39-58.jpg,Akash Joshi
48,Unisex Sneakers Shoes,"We are here to offer comfy collection of shoes. A shoe is an item of footwear intended to protect and comfort the human foot. It is vulnerable, and shoes provide protection.",,,50,Fashion,,4,2025-10-16 18:13:07.985274,2025-10-16 18:13:07.985316,buyer_seller/seller/seller_SEL6094823/Unisex Sneakers Shoes/product_thumbnail/2343064081_10-16-25_23-43-06.jpg,Akash Joshi
87,Cotton Men Plain Shirt,"Upgrade your wardrobe with our mens  shirt designed to deliver a perfect balance of sophistication, comfort, and versatility. Whether its for office hours, evening outings or weekend plans, these shirts keep you looking sharp and feeling fresh all day. Tailored from premium, breathable fabrics",,,62,Fashion,,4,2025-10-17 09:28:35.584603,2025-10-17 09:28:35.584646,buyer_seller/seller/seller_SEL1968538/Cotton Men Plain Shirt/product_thumbnail/1458324601_10-17-25_14-58-34.jpg,Sneha Verma
42,Cenforce Fm Tablets,Cenforce fm 100mg is accommodate sildenafil citrate which is use in erectile dysfunction in men and rarely cases of hypertension,,,48,Pharmaceutical,,7,2025-10-16 17:39:25.925462,2025-10-16 17:39:25.925499,buyer_seller/seller/seller_SEL4668844/Cenforce Fm Tablets/product_thumbnail/2309243691_10-16-25_23-09-24.jpg,Arjun Kumar
43,Cernos Testosterone Gel,Cernos Gel is a medicine used in the treatment of male hypogonadism caused due to low testosterone levels. It is only prescribed to men with known medical conditions. It helps in restoring the level of testosterone in the male body.,,,48,Pharmaceutical,,7,2025-10-16 17:41:28.173595,2025-10-16 17:41:28.173639,buyer_seller/seller/seller_SEL4668844/Cernos Testosterone Gel/product_thumbnail/2311268471_10-16-25_23-11-27.jpg,Arjun Kumar
70,Vidalista 20mg Centurion,"Vidalista 20mg Tablet is used to treat erectile dysfunction in men. It increases blood flow to the penis to help men get an erection. It works by helping to relax the blood vessels in your penis, allowing blood to flow into your penis when you get sexually excited. Vidalista 20mg Tablet",,,61,Pharmaceutical,,7,2025-10-17 07:20:16.885342,2025-10-17 07:20:16.885389,buyer_seller/seller/seller_SEL9325759/Vidalista 20mg Centurion/product_thumbnail/1250107251_10-17-25_12-50-15.jpg,Pooja More
71,Trenbolone Enanthate 200 Mg,"Trenbolone Enanthate 200mg is a synthetic anabolic steroid derived from the hormone testosterone. It is widely recognized as one of the most potent and effective steroids available in the market. Its primary use is for bulking and cutting cycles, where it helps individuals enhance muscle growth, imp",,,61,Pharmaceutical,,7,2025-10-17 07:23:45.344833,2025-10-17 07:23:45.344877,buyer_seller/seller/seller_SEL9325759/Trenbolone Enanthate 200 Mg/product_thumbnail/1253426561_10-17-25_12-53-43.jpg,Pooja More
56,Agro Forestry Plant,"We Livealth Biopharma Private Limited aim to satisfy the demands of our customers from farming industry. Company came into existence in the year 2012, our company is operating its entire business affairs as a Private Limited Company with its main offices situated at Bengaluru,",,,54,Agro & Agro Processing,,9,2025-10-16 19:13:22.003904,2025-10-16 19:13:22.003947,buyer_seller/seller/seller_SEL6168072/Agro Forestry Plant/product_thumbnail/0043193121_10-17-25_00-43-19.jpg,Rahul Shetty
77,Pulses and Spices,"Cleaned, sorted pulses and spices, packed with high hygiene and exported globally",,,71,Agro & Agro Processing,,9,2025-10-17 08:40:47.913550,2025-10-17 08:40:47.913595,buyer_seller/seller/seller_SEL8424786/Pulses and Spices/product_thumbnail/1410455721_10-17-25_14-10-45.jpg,Lalit Kumar
78,Grains and Seeds,"Basmati and non-basmati rice varieties, premium grains and seeds for international trades.
Our grains and seeds division focuses on supplying both domestic and international markets with carefully selected and processed products that retain their natural freshness, taste, and nutritional value.",,,71,Agro & Agro Processing,,9,2025-10-17 08:48:51.148865,2025-10-17 08:48:51.148937,buyer_seller/seller/seller_SEL8424786/Grains and Seeds/product_thumbnail/1418490361_10-17-25_14-18-49.jpg,Lalit Kumar
49,AutoGRACE Cylinder Liner,"Cylinder Liners, also known as engine sleeves, reborer sleeves, wet liners, dry sleeves or simply liners are a replaceable wear part which can be changed during engine overhaul service, thus avoiding replacement of the much more expensive engine block. Many modern light duty engines are manufactur",,,51,Automobile,,10,2025-10-16 18:22:48.716067,2025-10-16 18:22:48.716110,buyer_seller/seller/seller_SEL4281354/AutoGRACE Cylinder Liner/product_thumbnail/2352468561_10-16-25_23-52-47.jpg,Vihaan Kapoor
50,Conversion Set Gaskets,"To repair the lower section of the engine, AutoGRACE brand conversion sets are your best bet. They consist of the oil pan / sump gasket, oil cooler gasket set, water pump gasket set, rear main seal, timing cover gasket and a collection of seals and O-rings that fit into the lower section of the eng",,,51,Automobile,,10,2025-10-16 18:24:15.669252,2025-10-16 18:24:15.669299,buyer_seller/seller/seller_SEL4281354/Conversion Set Gaskets/product_thumbnail/2354124511_10-16-25_23-54-13.jpg,Vihaan Kapoor
51,Liner Piston Kit,"In repair market, customers prefer buying the complete power cylinder kits, or liner-piston kit sets to replace these high-wear components. AutoGRACE kit sets are assembled by Garima Global using in-house cylinder liners with pistons and pistons rings procured from leading manufacturers in India.",,,51,Automobile,,10,2025-10-16 18:25:52.681473,2025-10-16 18:25:52.681523,buyer_seller/seller/seller_SEL4281354/Liner Piston Kit/product_thumbnail/2355501801_10-16-25_23-55-50.jpg,Vihaan Kapoor
52,Pump Repair Kit,"All pumps require maintenance at regular intervals, hence Garima Global has developed a comprehensive range of repairs kits for lubricating oil pumps, coolant / water pumps, lift / feed pumps and hydraulic pumps which consists of seals, gaskets, control valves, hydraulic chambers, control levers,m",,,51,Automobile,,10,2025-10-16 18:28:04.109778,2025-10-16 18:28:04.109832,buyer_seller/seller/seller_SEL4281354/Pump Repair Kit/product_thumbnail/2358015301_10-16-25_23-58-01.jpg,Vihaan Kapoor
