id,product_name,product_description,category,category_id,created_at,updated_at,seller_id,seller_name
39,Brass Gold Silver Plated Occas,We offer premium range of Occasional Gift. To furnish the diverse requirements of our clients we are involved in offering a wide range of Occasional Gift. Our range of bowl Set are beautifully crafted with lot of emphasis on the finish and designs Features Elegant designs  Attractive looks,Gift & Toys,2,2025-10-16 17:22:29.378001,2025-10-16 17:22:29.378041,47,Nisha Deshmukh
40,Swan Shape Brass Bowl Set,We offer premium range of Wedding Gift Item Swan Shape Brass Bowl Set. To furnish the diverse requirements of our clients we are involved in offering a wide range of Wedding Gift Item Swan Shape Brass Bowl Set. Our range of bowl Set are beautifully crafted with lot of emphasis on the finish and desi,Gift & Toys,2,2025-10-16 17:24:30.124359,2025-10-16 17:24:30.124401,47,Nisha Deshmukh
41,Handmade Barmeri Print Handbag,We offer premium range of Ladies Gift Handmade Barmeri Print Handbag. To furnish the diverse requirements of our clients we are involved in offering a wide range of Handicrafts. Our range of Handmade Handicrafts are beautifully crafted with lot of emphasis on the finish and designs,Gift & Toys,2,2025-10-16 17:27:28.661351,2025-10-16 17:27:28.661389,47,Nisha Deshmukh
36,Steam Sella Basmati Rice,"1121 Steam Sella Basmati Rice is a high-quality variety of Basmati rice that undergoes a steaming process to enhance its texture, aroma, and nutritional value. Known for its long, slender grains and distinct aroma, this rice is widely used in Indian and Middle Eastern cuisines",Food,3,2025-10-16 17:05:00.218289,2025-10-16 17:05:00.218335,46,Neha Menon
37,Premier Black Pepper,We are the largest wholesellers and Exporters of Indian premier Black Pepper...& all kinds of Spices Mithuna Foods can offer the best for Exports & Regular shipping..of Indian premier Black and white Pepper SRILANKAN PEPPER ONLY,Food,3,2025-10-16 17:07:57.543443,2025-10-16 17:07:57.543487,46,Neha Menon
38,Mithuna Patti Samosas,"With the assistance of our skilled professionals, we are engaged in providing high grade Patti Samosas. Provided samosa is one of the largely consumed snacks in India, asper the taste of people in India, we prepared this samosa by making use of maida with other related ingredients. We keep the spice",Food,3,2025-10-16 17:10:40.221928,2025-10-16 17:10:40.221996,46,Neha Menon
91,"4+ Suta Makhana, 1 Kg","Enrich Global's Fox Nut, also known as Makana, is a nutrient-rich and wholesome snack that combines delectable taste with numerous health benefits. Harvested from the pristine sources, our Fox Nut is a symbol of purity and wellness, carefully processed to bring you the best in every bite",Food,3,2025-10-17 09:42:35.707560,2025-10-17 09:42:35.707621,63,Anita Sharma
47,Brown Kaibo Aldo Shoes,"We are here to offer comfy collection of shoes. A shoe is an item of footwear intended to protect and comfort the human foot. It is vulnerable, and shoes provide protection.",Fashion,4,2025-10-16 18:10:00.193846,2025-10-16 18:10:00.193888,50,Akash Joshi
48,Unisex Sneakers Shoes,"We are here to offer comfy collection of shoes. A shoe is an item of footwear intended to protect and comfort the human foot. It is vulnerable, and shoes provide protection.",Fashion,4,2025-10-16 18:13:07.985274,2025-10-16 18:13:07.985316,50,Akash Joshi
87,Cotton Men Plain Shirt,"Upgrade your wardrobe with our mens  shirt designed to deliver a perfect balance of sophistication, comfort, and versatility. Whether its for office hours, evening outings or weekend plans, these shirts keep you looking sharp and feeling fresh all day. Tailored from premium, breathable fabrics",Fashion,4,2025-10-17 09:28:35.584603,2025-10-17 09:28:35.584646,62,Sneha Verma
42,Cenforce Fm Tablets,Cenforce fm 100mg is accommodate sildenafil citrate which is use in erectile dysfunction in men and rarely cases of hypertension,Pharmaceutical,7,2025-10-16 17:39:25.925462,2025-10-16 17:39:25.925499,48,Arjun Kumar
43,Cernos Testosterone Gel,Cernos Gel is a medicine used in the treatment of male hypogonadism caused due to low testosterone levels. It is only prescribed to men with known medical conditions. It helps in restoring the level of testosterone in the male body.,Pharmaceutical,7,2025-10-16 17:41:28.173595,2025-10-16 17:41:28.173639,48,Arjun Kumar
70,Vidalista 20mg Centurion,"Vidalista 20mg Tablet is used to treat erectile dysfunction in men. It increases blood flow to the penis to help men get an erection. It works by helping to relax the blood vessels in your penis, allowing blood to flow into your penis when you get sexually excited. Vidalista 20mg Tablet",Pharmaceutical,7,2025-10-17 07:20:16.885342,2025-10-17 07:20:16.885389,61,Pooja More
71,Trenbolone Enanthate 200 Mg,"Trenbolone Enanthate 200mg is a synthetic anabolic steroid derived from the hormone testosterone. It is widely recognized as one of the most potent and effective steroids available in the market. Its primary use is for bulking and cutting cycles, where it helps individuals enhance muscle growth, imp",Pharmaceutical,7,2025-10-17 07:23:45.344833,2025-10-17 07:23:45.344877,61,Pooja More
56,Agro Forestry Plant,"We Livealth Biopharma Private Limited aim to satisfy the demands of our customers from farming industry. Company came into existence in the year 2012, our company is operating its entire business affairs as a Private Limited Company with its main offices situated at Bengaluru,",Agro & Agro Processing,9,2025-10-16 19:13:22.003904,2025-10-16 19:13:22.003947,54,Rahul Shetty
77,Pulses and Spices,"Cleaned, sorted pulses and spices, packed with high hygiene and exported globally",Agro & Agro Processing,9,2025-10-17 08:40:47.913550,2025-10-17 08:40:47.913595,71,Lalit Kumar
78,Grains and Seeds,"Basmati and non-basmati rice varieties, premium grains and seeds for international trades.
Our grains and seeds division focuses on supplying both domestic and international markets with carefully selected and processed products that retain their natural freshness, taste, and nutritional value.",Agro & Agro Processing,9,2025-10-17 08:48:51.148865,2025-10-17 08:48:51.148937,71,Lalit Kumar
49,AutoGRACE Cylinder Liner,"Cylinder Liners, also known as engine sleeves, reborer sleeves, wet liners, dry sleeves or simply liners are a replaceable wear part which can be changed during engine overhaul service, thus avoiding replacement of the much more expensive engine block. Many modern light duty engines are manufactur",Automobile,10,2025-10-16 18:22:48.716067,2025-10-16 18:22:48.716110,51,Vihaan Kapoor
50,Conversion Set Gaskets,"To repair the lower section of the engine, AutoGRACE brand conversion sets are your best bet. They consist of the oil pan / sump gasket, oil cooler gasket set, water pump gasket set, rear main seal, timing cover gasket and a collection of seals and O-rings that fit into the lower section of the eng",Automobile,10,2025-10-16 18:24:15.669252,2025-10-16 18:24:15.669299,51,Vihaan Kapoor
51,Liner Piston Kit,"In repair market, customers prefer buying the complete power cylinder kits, or liner-piston kit sets to replace these high-wear components. AutoGRACE kit sets are assembled by Garima Global using in-house cylinder liners with pistons and pistons rings procured from leading manufacturers in India.",Automobile,10,2025-10-16 18:25:52.681473,2025-10-16 18:25:52.681523,51,Vihaan Kapoor
52,Pump Repair Kit,"All pumps require maintenance at regular intervals, hence Garima Global has developed a comprehensive range of repairs kits for lubricating oil pumps, coolant / water pumps, lift / feed pumps and hydraulic pumps which consists of seals, gaskets, control valves, hydraulic chambers, control levers,m",Automobile,10,2025-10-16 18:28:04.109778,2025-10-16 18:28:04.109832,51,Vihaan Kapoor
53,Engine Valve Tappet,"Due to the manufacturing complexity involved in this deceptively simple-looking component, Garima Global works with only the leading manufacturers of cam followers in India to source valve tappets / valve lifters for our customers. The purpose of the cam follower is to translate the lifting action.",Automobile,10,2025-10-16 18:30:17.956123,2025-10-16 18:30:17.956164,51,Vihaan Kapoor
